title,company_name,description,skills_requirements,location,stipend,category,application_deadline,is_remote
Marketing Intern,TCS,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Communication Skills, Leadership, SQL, Statistics",Mumbai,5595-10462,Product,2026-06-24,False
Backend Developer Intern,Swiggy,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Data Analysis, Deep Learning, JavaScript, Kubernetes, Python",Hyderabad,10849-25505,Machine Learning,2026-03-24,False
DevOps Intern,IBM,Work on real-time projects used by thousands of users while learning from senior mentors.,"C, C++, Figma, Python, REST APIs",Noida,22543-52382,Software Development,2026-04-28,False
Finance Intern,Wipro,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Data Analysis, Deep Learning, Machine Learning, NLP, PyTorch, Python",Bangalore,9154-30507,Artificial Intelligence,2026-07-11,False
Growth Intern,Ola,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Data Analysis, Deep Learning, PyTorch, Python, Statistics, TensorFlow",Ahmedabad,8045-25828,Machine Learning,2026-02-16,False
NLP Intern,Flipkart,High-performing interns may be considered for full-time offers or extended internships.,"Communication Skills, Data Analysis, React",Mumbai,22792-49615,Marketing / Growth,2026-07-11,False
Cybersecurity Intern,PhonePe,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Excel, Figma, Finance Basics, Problem Solving, TensorFlow, Time Management",Jaipur,9154-37571,Finance,2026-07-18,False
AI Research Intern,Wipro,"Solve practical business problems with data and models, and build a strong portfolio of projects.","C, Communication Skills, Data Analysis, Power BI, PyTorch",Remote,11276-27908,Business / Analytics,2026-01-25,True
UI/UX Design Intern,Byjus,High-performing interns may be considered for full-time offers or extended internships.,"Cybersecurity, Linux, Networking, Power BI, Problem Solving, Python, UI/UX Design",Jaipur,16823-43550,Cybersecurity,2026-07-25,False
Marketing Intern,Adobe,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Cybersecurity, Machine Learning, NumPy",Mumbai,,Data Science,2026-07-30,False
AI Research Intern,Microsoft,"Work in a student-friendly environment that values learning, feedback and long-term growth.","AWS, Azure, Cloud Computing, Docker, Kubernetes, Marketing Basics",Ahmedabad,15311-41263,Cloud / DevOps,2025-12-18,False
Finance Intern,Zomato,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Git/GitHub, Machine Learning, Power BI, SQL",Delhi,18974-43302,Business / Analytics,2025-12-19,False
Software Engineering Intern,Reliance,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Data Analysis, Deep Learning, Java, JavaScript, NLP, SQL, Statistics, TensorFlow",Delhi,6114-13639,Machine Learning,2026-07-29,False
Cloud Engineering Intern,Freshworks,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Creativity, Figma, Marketing Basics, Networking, UI/UX Design",Noida,9006-17739,UI/UX Design,2025-12-28,False
NLP Intern,Uber,Design and develop user-facing features while collaborating closely with design and product.,"AWS, Docker, GCP, Kubernetes, Leadership, Linux, Marketing Basics",Ahmedabad,12708-35509,Cloud / DevOps,2026-07-18,False
Cloud Engineering Intern,TCS,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Cloud Computing, Communication Skills, Creativity, Data Analysis, GCP, Leadership, Marketing Basics",Gurgaon,20308-36698,Marketing / Growth,2026-04-27,False
DevOps Intern,Uber,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","C++, Cloud Computing, Docker, GCP, Git/GitHub, Linux, UI/UX Design",Jaipur,22957-50899,Cloud / DevOps,2026-05-25,False
Business Analyst Intern,Microsoft,Work on real-time projects used by thousands of users while learning from senior mentors.,"Creativity, Data Analysis, Linux, Product Sense, REST APIs, React",Kolkata,6611-22446,Product,2026-06-20,False
Software Engineering Intern,Zomato,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Communication Skills, Creativity, Data Analysis, TensorFlow, UI/UX Design",Mumbai,11108-24042,Marketing / Growth,2026-01-06,False
UI/UX Design Intern,Wipro,Design and develop user-facing features while collaborating closely with design and product.,"Data Analysis, NumPy, PyTorch, Python",Gurgaon,14499-39892,Artificial Intelligence,2026-02-07,False
DevOps Intern,Uber,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Data Analysis, Deep Learning, Machine Learning, Python, React, Statistics",Pune,18019-41949,Machine Learning,2026-04-20,False
NLP Intern,Reliance,"Solve practical business problems with data and models, and build a strong portfolio of projects.","C++, Cloud Computing, Cybersecurity, HTML/CSS, Linux, Networking, Problem Solving, Python",Gurgaon,18771-39686,Cybersecurity,2026-07-30,False
Mobile App Developer Intern,Paytm,High-performing interns may be considered for full-time offers or extended internships.,"Data Analysis, Deep Learning, NLP, Networking, Python, React, TensorFlow",Kolkata,,Artificial Intelligence,2026-03-08,False
Growth Intern,Intel,Work on real-time projects used by thousands of users while learning from senior mentors.,"Data Analysis, Docker, Excel, Power BI, Python, Tableau",Kolkata,23036-38917,Business / Analytics,2026-01-16,False
UI/UX Design Intern,Byjus,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","C, C++, Creativity, Finance Basics, Java, JavaScript",Chennai,,Software Development,2026-01-04,False
Full Stack Developer Intern,Reliance,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Deep Learning, Java, Kubernetes, NLP, PyTorch, TensorFlow",Hyderabad,21252-50962,Artificial Intelligence,2026-01-09,False
Machine Learning Intern,Flipkart,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Cloud Computing, Pandas, Power BI, Python, SQL, Statistics",Ahmedabad,14346-30100,Data Science,2026-05-23,False
Cybersecurity Intern,CRED,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Communication Skills, Data Analysis, Figma, Marketing Basics, Teamwork, TensorFlow",Ahmedabad,17024-23709,Marketing / Growth,2026-07-20,False
Product Management Intern,Reliance,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Cybersecurity, Linux, Problem Solving, SQL",Delhi,10186-33957,Cybersecurity,2026-05-17,False
Data Science Intern,Ola,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Networking, Problem Solving, PyTorch, Python, Tableau",Kolkata,,Cybersecurity,2026-03-05,False
Finance Intern,Zoho,"Work in a student-friendly environment that values learning, feedback and long-term growth.","AWS, Cloud Computing, Docker, GCP, Git/GitHub, PyTorch",Jaipur,18892-45958,Cloud / DevOps,2026-05-08,False
Full Stack Developer Intern,Salesforce,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Azure, Cloud Computing, Docker, Figma, Java",Hyderabad,,Cloud / DevOps,2026-06-15,False
Finance Intern,Uber,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Cybersecurity, Linux, NLP, Networking, Problem Solving, REST APIs",Remote,,Cybersecurity,2026-06-04,True
Marketing Intern,Uber,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Java, JavaScript, Power BI, Problem Solving, Python",Hyderabad,20410-29626,Software Development,2026-06-02,False
Product Management Intern,PhonePe,"Solve practical business problems with data and models, and build a strong portfolio of projects.","C++, Deep Learning, GCP, NLP, PyTorch, Python, TensorFlow",Mumbai,13370-30736,Artificial Intelligence,2026-07-08,False
QA / Test Automation Intern,Microsoft,Design and develop user-facing features while collaborating closely with design and product.,"AWS, Cloud Computing, GCP, Git/GitHub, Kubernetes, Marketing Basics, Product Sense, Teamwork",Delhi,24681-32555,Cloud / DevOps,2026-05-29,False
AI Research Intern,CRED,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Communication Skills, Creativity, Figma, Marketing Basics",Delhi,21109-40645,UI/UX Design,2026-03-17,False
Full Stack Developer Intern,Zoho,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Cybersecurity, Excel, Power BI, SQL, Tableau",Hyderabad,18554-46101,Business / Analytics,2026-01-04,False
Growth Intern,Wipro,"Work in a student-friendly environment that values learning, feedback and long-term growth.","C++, Creativity, Data Analysis, JavaScript, Marketing Basics",Delhi,7918-31105,Marketing / Growth,2026-07-13,False
Software Engineering Intern,PhonePe,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Deep Learning, Leadership, Product Sense, Python, TensorFlow",Gurgaon,10066-33638,Machine Learning,2026-03-03,False
QA / Test Automation Intern,Amazon,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Cybersecurity, JavaScript, UI/UX Design",Delhi,11262-32710,UI/UX Design,2026-07-27,False
Machine Learning Intern,CRED,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Communication Skills, Creativity, Data Analysis, Leadership, Product Sense, REST APIs, React",Gurgaon,20719-46000,Product,2025-12-19,False
Backend Developer Intern,Reliance,Work on real-time projects used by thousands of users while learning from senior mentors.,"Deep Learning, Docker, Machine Learning, Python, Statistics, TensorFlow",Mumbai,,Machine Learning,2026-05-08,False
Marketing Intern,Meesho,Design and develop user-facing features while collaborating closely with design and product.,"Deep Learning, Finance Basics, Marketing Basics, NLP, Python, SQL",Hyderabad,17232-20870,Machine Learning,2025-12-21,False
Full Stack Developer Intern,Wipro,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Communication Skills, Creativity, Docker, NLP",Noida,,UI/UX Design,2026-04-20,False
Backend Developer Intern,Amazon,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Communication Skills, Creativity, Leadership, Product Sense, PyTorch, Teamwork",Gurgaon,14105-30535,Product,2026-02-26,False
NLP Intern,Uber,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Cybersecurity, Networking, Problem Solving, Python, Time Management",Chennai,,Cybersecurity,2026-05-26,False
Cybersecurity Intern,Google,Design and develop user-facing features while collaborating closely with design and product.,"Docker, Figma, Linux, Networking",Mumbai,16945-20252,Cybersecurity,2026-06-10,False
Cloud Engineering Intern,Infosys,Work on real-time projects used by thousands of users while learning from senior mentors.,"Docker, Excel, SQL, Tableau",Pune,20949-33256,Business / Analytics,2026-03-13,False
Growth Intern,NVIDIA,High-performing interns may be considered for full-time offers or extended internships.,"Creativity, Figma, HTML/CSS",Delhi,,UI/UX Design,2026-03-25,False
Cloud Engineering Intern,Freshworks,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Leadership, Python, SQL, Statistics",Noida,18992-41731,Data Science,2026-04-15,False
Software Engineering Intern,Microsoft,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Azure, Deep Learning, Finance Basics, Machine Learning, Python, Statistics, TensorFlow",Chennai,7415-17160,Machine Learning,2025-12-12,False
Data Science Intern,Microsoft,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","AWS, Cloud Computing, Excel, GCP, Kubernetes, PyTorch",Chennai,5287-8563,Cloud / DevOps,2026-02-12,False
Frontend Developer Intern,Infosys,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Cybersecurity, Data Analysis, GCP, Pandas, Problem Solving, Python",Kolkata,21810-40964,Cybersecurity,2025-12-27,False
Growth Intern,Uber,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Git/GitHub, Linux, Marketing Basics, Power BI, Problem Solving",Gurgaon,18710-39753,Software Development,2026-05-07,False
Data Analyst Intern,Intel,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Creativity, Product Sense, Teamwork, Time Management",Bangalore,7892-10609,Product,2026-05-27,False
QA / Test Automation Intern,Reliance,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","C++, Cybersecurity, Networking, Teamwork",Gurgaon,13809-30485,Cybersecurity,2026-01-26,False
QA / Test Automation Intern,Uber,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","AWS, Azure, C, Data Analysis, Git/GitHub, Kubernetes, React",Remote,15947-44391,Cloud / DevOps,2026-03-08,True
DevOps Intern,Wipro,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","C++, Communication Skills, Cybersecurity, Data Analysis, Excel, Finance Basics, Problem Solving, Statistics",Delhi,,Finance,2025-12-11,False
Cybersecurity Intern,Salesforce,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Deep Learning, Git/GitHub, JavaScript, Linux, Machine Learning, Python, TensorFlow",Gurgaon,,Artificial Intelligence,2026-02-20,False
UI/UX Design Intern,Microsoft,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Data Analysis, JavaScript, Power BI, Python, React, SQL, Tableau",Ahmedabad,19714-43804,Data Science,2026-04-15,False
Data Analyst Intern,TCS,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Data Analysis, Docker, Figma, NumPy, Pandas, Statistics",Pune,,Data Science,2026-04-19,False
Cloud Engineering Intern,TCS,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Data Analysis, Linux, Networking, Problem Solving, UI/UX Design",Noida,13189-30274,Cybersecurity,2026-03-17,False
DevOps Intern,Google,Design and develop user-facing features while collaborating closely with design and product.,"Excel, React, Statistics, TensorFlow",Mumbai,5226-11083,Finance,2026-07-21,False
Data Analyst Intern,Microsoft,Work on real-time projects used by thousands of users while learning from senior mentors.,"Data Analysis, Excel, NLP, Power BI, SQL, Tableau",Kolkata,9497-18436,Business / Analytics,2026-04-16,False
DevOps Intern,Flipkart,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Deep Learning, Git/GitHub, Java, JavaScript, Machine Learning, NLP, PyTorch",Chennai,,Artificial Intelligence,2026-05-01,False
Data Analyst Intern,Zomato,"Work in a student-friendly environment that values learning, feedback and long-term growth.","JavaScript, Networking, Python, UI/UX Design",Jaipur,22247-46122,Cybersecurity,2026-03-07,False
Frontend Developer Intern,Freshworks,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Data Analysis, Git/GitHub, Kubernetes, Statistics, Tableau",Delhi,,Data Science,2026-04-03,False
Cloud Engineering Intern,NVIDIA,Design and develop user-facing features while collaborating closely with design and product.,"Communication Skills, Creativity, Data Analysis, HTML/CSS, Leadership, Product Sense, PyTorch, SQL",Pune,,Product,2026-04-27,False
Mobile App Developer Intern,TCS,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Deep Learning, GCP, PyTorch, Statistics, TensorFlow",Delhi,,Machine Learning,2026-07-17,False
Business Analyst Intern,TCS,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Data Analysis, Docker, Figma, Machine Learning, Networking, PyTorch, Python, TensorFlow",Kolkata,21633-41430,Artificial Intelligence,2026-05-17,False
Cloud Engineering Intern,NVIDIA,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","C++, Creativity, Marketing Basics, PyTorch",Kolkata,14897-42019,Marketing / Growth,2026-03-05,False
Machine Learning Intern,Ola,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Deep Learning, Machine Learning, Python, TensorFlow, UI/UX Design",Jaipur,,Machine Learning,2026-01-19,False
DevOps Intern,Ola,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","NLP, Power BI, SQL",Jaipur,9803-19007,Business / Analytics,2026-06-15,False
Machine Learning Intern,PhonePe,High-performing interns may be considered for full-time offers or extended internships.,"Finance Basics, HTML/CSS, Java, Marketing Basics, Problem Solving, TensorFlow",Hyderabad,5793-22353,Software Development,2026-02-23,False
Product Management Intern,Adobe,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Creativity, Marketing Basics, Python, Statistics",Chennai,19565-38204,Marketing / Growth,2026-02-15,False
Frontend Developer Intern,Zomato,Work on real-time projects used by thousands of users while learning from senior mentors.,"AWS, Machine Learning, NLP, Python, Teamwork, TensorFlow",Gurgaon,23593-31994,Artificial Intelligence,2026-03-10,False
NLP Intern,Accenture,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Creativity, Cybersecurity, Git/GitHub, Leadership, Networking, Product Sense, Teamwork",Kolkata,,Product,2026-04-16,False
NLP Intern,CRED,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","C, Communication Skills, Excel, Kubernetes, SQL, Tableau",Kolkata,17475-40636,Business / Analytics,2026-04-15,False
Data Science Intern,Flipkart,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Communication Skills, Data Analysis, Excel, Linux, Power BI, Tableau",Kolkata,,Business / Analytics,2026-05-04,False
Cybersecurity Intern,Salesforce,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Cloud Computing, Data Analysis, Excel, Finance Basics, Leadership, Linux, Statistics",Remote,19429-38534,Finance,2025-12-19,True
NLP Intern,Byjus,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Data Analysis, Deep Learning, NLP, Python, REST APIs, React, TensorFlow",Noida,,Machine Learning,2026-04-25,False
Data Science Intern,Google,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Creativity, Data Analysis, Power BI, SQL",Noida,23718-39887,Data Science,2026-04-23,False
AI Research Intern,Zomato,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Creativity, Data Analysis, Linux, Marketing Basics",Pune,14671-27594,Marketing / Growth,2026-01-11,False
Cloud Engineering Intern,Accenture,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Docker, Finance Basics, Kubernetes, Problem Solving, PyTorch, Statistics",Chennai,5858-30748,Finance,2026-03-24,False
Marketing Intern,Flipkart,High-performing interns may be considered for full-time offers or extended internships.,"C++, Deep Learning, NLP, PyTorch, Python, TensorFlow",Delhi,24989-50260,Artificial Intelligence,2026-04-13,False
Business Analyst Intern,Intel,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","AWS, Data Analysis, Kubernetes, Linux, REST APIs",Jaipur,22443-34878,Cloud / DevOps,2025-12-20,False
AI Research Intern,Byjus,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Pandas, Power BI, SQL, Tableau, Teamwork, TensorFlow",Jaipur,,Data Science,2026-07-08,False
Cloud Engineering Intern,Adobe,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Data Analysis, Marketing Basics, Networking, Tableau",Gurgaon,7055-23098,Marketing / Growth,2026-05-05,False
Mobile App Developer Intern,NVIDIA,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","C, C++, JavaScript, Kubernetes, REST APIs, React",Ahmedabad,15085-34638,Software Development,2026-05-15,False
Growth Intern,NVIDIA,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Communication Skills, Creativity, Data Analysis, Figma, JavaScript, UI/UX Design",Gurgaon,,UI/UX Design,2025-12-19,False
Data Science Intern,Amazon,Design and develop user-facing features while collaborating closely with design and product.,"Cloud Computing, Cybersecurity, Docker, JavaScript, Linux, Networking, Problem Solving, Python",Ahmedabad,17727-45018,Cybersecurity,2026-01-14,False
Cloud Engineering Intern,Meesho,Design and develop user-facing features while collaborating closely with design and product.,"Machine Learning, NLP, NumPy, Problem Solving, Python, SQL, Tableau, Time Management",Remote,,Data Science,2026-05-30,True
Cloud Engineering Intern,Wipro,High-performing interns may be considered for full-time offers or extended internships.,"Excel, Finance Basics, GCP, Problem Solving, Python, Statistics",Remote,,Finance,2026-04-26,True
Business Analyst Intern,Ola,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Azure, GCP, Git/GitHub, NumPy",Remote,24819-36035,Cloud / DevOps,2026-04-25,True
Full Stack Developer Intern,Paytm,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Deep Learning, Marketing Basics, NLP, PyTorch, Python, UI/UX Design",Kolkata,,Machine Learning,2026-01-12,False
Backend Developer Intern,TCS,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Creativity, Docker, Finance Basics, GCP, Git/GitHub",Remote,19864-27895,Cloud / DevOps,2026-05-28,True
Cybersecurity Intern,Salesforce,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Creativity, Problem Solving, UI/UX Design",Kolkata,5756-17503,UI/UX Design,2026-01-08,False
NLP Intern,Uber,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Cybersecurity, Finance Basics, Linux, Networking, Problem Solving, Python",Remote,19038-35890,Cybersecurity,2026-05-18,True
Machine Learning Intern,Swiggy,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Cloud Computing, Git/GitHub, NumPy, Pandas, Power BI, PyTorch, SQL, Tableau",Delhi,15496-27045,Data Science,2026-05-18,False
Product Management Intern,Accenture,"Work in a student-friendly environment that values learning, feedback and long-term growth.","C++, Git/GitHub, JavaScript, Linux, Problem Solving, Teamwork, TensorFlow",Remote,,Software Development,2026-07-28,True
QA / Test Automation Intern,Intel,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Cybersecurity, Data Analysis, Deep Learning, NLP, Networking, Python, Statistics, TensorFlow",Bangalore,9240-19081,Machine Learning,2026-06-28,False
Marketing Intern,Zoho,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Azure, C++, Communication Skills, Data Analysis, Docker, Excel, SQL, Tableau",Jaipur,12022-27403,Business / Analytics,2026-02-20,False
Product Management Intern,Zoho,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","C, Communication Skills, Creativity, Figma, Leadership, NLP, UI/UX Design",Ahmedabad,19770-34524,UI/UX Design,2026-07-28,False
Software Engineering Intern,Microsoft,Work on real-time projects used by thousands of users while learning from senior mentors.,"Data Analysis, Product Sense, UI/UX Design",Hyderabad,10219-18812,Product,2026-05-22,False
Finance Intern,Google,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Creativity, Marketing Basics, Power BI, Problem Solving",Kolkata,8528-36840,Marketing / Growth,2026-06-09,False
Growth Intern,IBM,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","C, GCP, Java, JavaScript, Problem Solving, React",Remote,,Software Development,2026-07-07,True
AI Research Intern,Wipro,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","C, Git/GitHub, HTML/CSS, Java, Machine Learning",Remote,,Software Development,2026-07-17,True
NLP Intern,Intel,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Cybersecurity, Kubernetes, Networking, Problem Solving",Bangalore,10939-38303,Cybersecurity,2026-02-28,False
UI/UX Design Intern,Amazon,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","C++, Data Analysis, Excel, Finance Basics, HTML/CSS, Problem Solving, Statistics, Teamwork",Mumbai,24279-50082,Finance,2026-02-28,False
AI Research Intern,Zomato,"Work in a student-friendly environment that values learning, feedback and long-term growth.","C, Git/GitHub, HTML/CSS, Problem Solving, Product Sense, REST APIs, React",Jaipur,6572-21224,Software Development,2026-05-16,False
NLP Intern,Zoho,"Work in a student-friendly environment that values learning, feedback and long-term growth.","AWS, Cloud Computing, Cybersecurity, Linux, Networking, Problem Solving, PyTorch, Python",Gurgaon,,Cybersecurity,2026-05-25,False
Data Science Intern,Amazon,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Communication Skills, Data Analysis, Leadership, Statistics, Teamwork, TensorFlow",Jaipur,14865-24361,Product,2026-04-02,False
Growth Intern,Zoho,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Communication Skills, Creativity, Figma, Networking, UI/UX Design",Ahmedabad,8483-11157,UI/UX Design,2026-02-28,False
Data Analyst Intern,Zomato,"Work in a student-friendly environment that values learning, feedback and long-term growth.","AWS, Communication Skills, Data Analysis, Power BI, Product Sense, SQL, Tableau",Kolkata,7364-32518,Business / Analytics,2026-07-31,False
Data Science Intern,Salesforce,Design and develop user-facing features while collaborating closely with design and product.,"C++, Cybersecurity, Excel, JavaScript, Kubernetes, Python",Jaipur,8889-37686,Software Development,2026-02-05,False
Business Analyst Intern,Google,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Azure, Data Analysis, Excel, Finance Basics, Java, Power BI, Problem Solving, Statistics",Gurgaon,,Finance,2026-06-13,False
Cloud Engineering Intern,Swiggy,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Communication Skills, Creativity, Teamwork, TensorFlow",Jaipur,,UI/UX Design,2026-07-02,False
Growth Intern,Zomato,Design and develop user-facing features while collaborating closely with design and product.,"Communication Skills, Data Analysis, Marketing Basics, Problem Solving",Jaipur,19877-48700,Marketing / Growth,2026-04-01,False
Cybersecurity Intern,PhonePe,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Cybersecurity, Excel, JavaScript, Linux, Networking, Problem Solving, Python",Gurgaon,22295-48073,Cybersecurity,2026-07-07,False
Machine Learning Intern,Byjus,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Data Analysis, Docker, Finance Basics, Problem Solving, PyTorch, Python",Hyderabad,,Finance,2026-04-04,False
Data Science Intern,Adobe,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Data Analysis, HTML/CSS, Marketing Basics",Noida,,Marketing / Growth,2026-04-18,False
Mobile App Developer Intern,Flipkart,High-performing interns may be considered for full-time offers or extended internships.,"Data Analysis, Deep Learning, Figma, JavaScript, Linux, Machine Learning, Python, TensorFlow",Chennai,,Machine Learning,2026-07-22,False
Product Management Intern,Freshworks,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Product Sense, SQL, Teamwork",Ahmedabad,21105-27316,Product,2025-12-31,False
AI Research Intern,TCS,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Cybersecurity, Java, Linux, Problem Solving, TensorFlow",Delhi,24343-47118,Cybersecurity,2026-04-04,False
Frontend Developer Intern,CRED,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Communication Skills, Creativity, Data Analysis, Excel, Finance Basics, Marketing Basics, UI/UX Design",Gurgaon,19951-25229,Marketing / Growth,2026-05-16,False
NLP Intern,Freshworks,High-performing interns may be considered for full-time offers or extended internships.,"Creativity, Cybersecurity, Data Analysis, Machine Learning, Marketing Basics",Remote,,Marketing / Growth,2026-05-04,True
Full Stack Developer Intern,Adobe,High-performing interns may be considered for full-time offers or extended internships.,"Machine Learning, NumPy, Pandas, Python, Statistics, TensorFlow",Mumbai,14505-39691,Data Science,2026-03-15,False
Marketing Intern,Meesho,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Creativity, HTML/CSS, Kubernetes, Product Sense, Teamwork",Kolkata,19803-46386,Product,2025-12-17,False
Frontend Developer Intern,Zoho,High-performing interns may be considered for full-time offers or extended internships.,"Data Analysis, Excel, JavaScript, NumPy, Problem Solving, Statistics, Tableau",Noida,11413-15157,Finance,2026-06-30,False
Data Analyst Intern,Wipro,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Communication Skills, Creativity, Data Analysis, Leadership, Product Sense, SQL, TensorFlow",Pune,,Product,2026-06-29,False
Marketing Intern,Zoho,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Communication Skills, Creativity, Marketing Basics, NumPy",Ahmedabad,11287-35143,Marketing / Growth,2026-03-18,False
AI Research Intern,Adobe,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Creativity, Excel, Leadership, NumPy, Product Sense, Teamwork",Hyderabad,16119-31642,Product,2026-05-28,False
DevOps Intern,Wipro,High-performing interns may be considered for full-time offers or extended internships.,"C++, Git/GitHub, JavaScript, Power BI, Python, REST APIs",Mumbai,9376-37384,Software Development,2026-02-09,False
Data Analyst Intern,Google,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","C++, Communication Skills, Data Analysis, Excel, GCP, Power BI, Tableau",Jaipur,8424-11679,Business / Analytics,2026-04-10,False
AI Research Intern,Accenture,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Communication Skills, Creativity, Data Analysis, Figma, JavaScript, Product Sense, Teamwork",Kolkata,,Product,2026-07-21,False
Cybersecurity Intern,Paytm,Work on real-time projects used by thousands of users while learning from senior mentors.,"Cybersecurity, Linux, Pandas, Problem Solving",Hyderabad,9699-27525,Cybersecurity,2026-07-14,False
Marketing Intern,Wipro,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Cloud Computing, Communication Skills, Finance Basics, JavaScript, Leadership, Product Sense",Kolkata,19329-38898,Product,2026-05-04,False
